train,val
"[0.20050453835604143, 0.20004115618613302, 0.2000579041789989, 0.19962003880313464, 0.19995597096122042, 0.19950124514954432, 0.200073846292739, 0.19959496676313634, 0.19977876772077716, 0.19936089780257674]","[0.21709059449759396, 0.21751693839376623, 0.21676559204405005, 0.21685945174910806, 0.21712248027324677, 0.21682296964255246, 0.21672881191427057, 0.21729453720829703, 0.21758255497975784, 0.21714113652706146]"
"[0.20022848370123883, 0.19992985850086017, 0.20002348143227247, 0.1996525917582366, 0.19972267716514822, 0.19963800481387547, 0.19989869804406651, 0.19949470475620154, 0.1994285136461258, 0.19981491231188483]","[0.21683858199553055, 0.21710264005444266, 0.21735705977136438, 0.21697925573045557, 0.21686370806260544, 0.21770419586788525, 0.21699706532738425, 0.21740269525484604, 0.21713210506872696, 0.21694022687998685]"
"[0.2003733222277797, 0.20004826966597108, 0.1997974413085957, 0.19976710862651162, 0.19956602612320257, 0.1994862326857995, 0.19939397138600445, 0.1995420106211487, 0.1994266254561288, 0.19952361969923488]","[0.21669232032515787, 0.2169091972437772, 0.2176540128209374, 0.21687672490423376, 0.2169685052199797, 0.21730348061431537, 0.2173573076725006, 0.21787606315179306, 0.2173790538852865, 0.21762895448641342]"
"[0.20032729634216853, 0.20013229685778522, 0.20017124864519859, 0.19976638105450845, 0.19969244787887652, 0.19979069784891848, 0.19951992816462807, 0.19967650652539973, 0.19947929361036845, 0.19934377378346968]","[0.2175351774150675, 0.21647753769701178, 0.21693463758988815, 0.21681161224842072, 0.21774189174175262, 0.21716910465197128, 0.21683057600801642, 0.21725757284597916, 0.21711307357658038, 0.21675214984200217]"
"[0.2003325768271271, 0.2000596480710166, 0.19977626371748594, 0.19987201097668433, 0.19967410128031457, 0.19953228852578572, 0.19969663624556697, 0.1994434023390011, 0.19934750606819074, 0.1991754857709213]","[0.2169560952620073, 0.2170787968418815, 0.21699389138004996, 0.21748286485671997, 0.2178112972866405, 0.21726181425831534, 0.2174276045777581, 0.2172913131388751, 0.2170916497707367, 0.21719992702657526]"
"[0.20030639997246313, 0.2002289733108209, 0.19968030662560948, 0.19951936876287266, 0.19978851809793588, 0.19976619570230952, 0.19941285130928973, 0.1996254115080347, 0.19926208409727836, 0.19930441358259746]","[0.2169982452284206, 0.2171595259146257, 0.21715235845609146, 0.21726853061806073, 0.2174647098237818, 0.21720758215947586, 0.21733248911120676, 0.21722175587307324, 0.218302153728225, 0.21791552684523843]"
"[0.2002958627987881, 0.19961021703724957, 0.19968067869848136, 0.1995609294699163, 0.1995803352673443, 0.19934148463059445, 0.19934734230747028, 0.19962535600881187, 0.19917821572447308, 0.19920496467729004]","[0.21726811067624527, 0.21732707050713626, 0.2174447774887085, 0.21788428046486594, 0.21792666614055634, 0.21704473278739236, 0.21780920706012033, 0.21781882643699646, 0.21744888885454697, 0.21791200204329056]"
"[0.20042729088846517, 0.19990798830986023, 0.19953027109102328, 0.19947225463633633, 0.19967456085949528, 0.19947602310959173, 0.19937576323139425, 0.1994453779592806, 0.199308629394794, 0.1989844617794971]","[0.21660699085755783, 0.2176411747932434, 0.2171028432520953, 0.21719522909684616, 0.21742736751383002, 0.21750282699411566, 0.2175968126817183, 0.2181566276333549, 0.21822818436405875, 0.21706365590745752]"
"[0.2001065102462866, 0.19961044047864115, 0.19998386836781792, 0.1997927038037047, 0.19928405076569441, 0.19946939665444044, 0.19930692442825862, 0.19912863537973288, 0.19913171186130874, 0.19923245374645507]","[0.21772818402810531, 0.2168636294928464, 0.2172702266411348, 0.21707077595320615, 0.21758781373500824, 0.2174321101470427, 0.21796365624124353, 0.21727054633877493, 0.21742090853777798, 0.21763752129944888]"
"[0.20019275877548723, 0.20035450183311287, 0.1996691146371316, 0.19950620305477357, 0.19919703003703332, 0.1993680962798547, 0.19939750045233842, 0.1993540398472426, 0.19894407142181786, 0.19917161200119524]","[0.21766232766888358, 0.2176077961921692, 0.2172480889342048, 0.21791329031640833, 0.21733523498881946, 0.2180526378479871, 0.2179887823083184, 0.21752487123012543, 0.21782166172157635, 0.21729396148161453]"
"[0.19997442741783297, 0.19977460467085548, 0.1995670991588612, 0.19940169383676684, 0.19949388078280858, 0.1993974824340976, 0.19952157398267667, 0.19925617244170638, 0.19919282076310138, 0.19898798727259345]","[0.21768203377723694, 0.2170432291247628, 0.21791205487468027, 0.21753363853151148, 0.21741991286928003, 0.21744385361671448, 0.2178687182339755, 0.21777353232557123, 0.21778775209730322, 0.21802261878143658]"
